# GPU: NVIDIA B200
# CC: 10.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: fp8e4m3, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,18,6.214,50.625195,67,6.703,46.929871,21,6.706,46.909718
16,2560,2560,18,6.213,33.753605,21,6.472,32.405064,67,6.622,31.670612
16,13824,2560,66,8.246,137.338699,18,8.252,137.226883,21,8.254,137.194962
16,2560,6912,18,9.251,61.206226,21,9.772,57.945179,70,10.270,55.134041
64,3840,2560,18,7.719,163.018112,69,8.219,153.097656,21,8.221,153.061890
64,2560,2560,18,7.405,113.286087,21,7.904,106.126877,67,8.101,103.552826
64,13824,2560,21,8.246,549.354797,66,8.246,549.354797,57,8.247,549.269592
64,2560,6912,22,10.280,220.316498,18,10.281,220.309647,68,10.283,220.268478
128,3840,2560,67,8.217,306.278748,66,8.225,305.980865,22,8.226,305.945129
128,2560,2560,21,8.225,203.987244,22,8.228,203.915833,97,8.229,203.884125
128,13824,2560,57,8.251,1097.985352,96,8.268,1095.733032,99,8.503,1065.425537
128,2560,6912,18,10.286,440.372559,21,10.288,440.290436,70,10.292,440.112396
512,3840,2560,55,8.247,1220.599121,56,8.252,1219.841797,59,8.496,1184.786987
512,2560,2560,59,8.249,813.543396,55,8.250,813.448669,58,8.252,813.259460
512,13824,2560,99,16.442,2204.091064,97,16.444,2203.791016,55,16.448,2203.276611
512,2560,6912,55,12.333,1469.203613,56,12.340,1468.327271,57,12.340,1468.327271
2048,3840,2560,31,16.609,2424.266357,33,17.106,2353.926270,32,17.200,2341.050293
2048,2560,2560,56,14.539,1846.328247,97,14.576,1841.585938,58,14.729,1822.501099
2048,13824,2560,34,43.395,3340.374512,33,43.556,3328.005371,32,43.934,3299.402100
2048,2560,6912,56,24.627,2943.026855,55,24.634,2942.224121,58,24.637,2941.803955
8192,3840,2560,31,48.727,3305.399414,30,49.268,3269.095459,33,49.291,3267.588623
8192,2560,2560,33,35.912,2989.897949,31,36.360,2953.085205,32,36.434,2947.067871
8192,13824,2560,33,159.898,3626.192139,34,161.183,3597.273193,32,162.028,3578.524658
8192,2560,6912,33,71.912,4031.459473,31,72.320,4008.733154,34,72.569,3994.962646
16384,3840,2560,30,93.029,3462.599121,43,94.472,3409.726074,44,95.270,3381.162842
16384,2560,2560,34,61.934,3467.387695,33,62.754,3422.088135,31,63.287,3393.260986
16384,13824,2560,33,308.252,3761.992920,31,316.034,3669.353027,34,318.361,3642.531982
16384,2560,6912,31,131.148,4421.100098,33,131.255,4417.500488,34,131.842,4397.847168
