# GPU: NVIDIA H100 PCIe
# CC: 9.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: fp8e5m2, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,7,7.246,43.410904,6,8.150,38.597511,19,8.192,38.398502
16,2560,2560,7,8.143,25.754934,30,8.236,25.461752,13,8.313,25.228470
16,13824,2560,7,10.522,107.625572,20,10.972,103.209320,5,11.020,102.768738
16,2560,6912,7,12.603,44.927567,6,13.023,43.479172,13,14.813,38.225792
64,3840,2560,7,7.624,165.036514,18,7.969,157.892715,17,8.103,155.286316
64,2560,2560,7,7.913,106.015289,13,8.099,103.581474,19,8.115,103.377235
64,13824,2560,7,11.299,400.899902,20,11.490,394.234436,5,11.581,391.151611
64,2560,6912,7,12.353,183.355484,6,12.732,177.894501,30,14.190,159.613205
128,3840,2560,24,9.025,278.856812,16,9.079,277.176178,11,9.708,259.231964
128,2560,2560,7,8.169,205.385666,15,8.401,199.705933,6,8.501,197.360428
128,13824,2560,14,14.041,645.248108,16,14.157,639.924805,23,14.462,626.458740
128,2560,6912,7,11.689,387.521606,30,11.848,382.340576,13,12.402,365.253784
512,3840,2560,9,16.247,619.591553,25,16.782,599.814636,12,17.023,591.324524
512,2560,2560,26,12.978,517.113037,14,13.036,514.777466,1,13.245,506.668610
512,13824,2560,3,42.046,861.876038,14,42.727,848.152710,4,43.196,838.929138
512,2560,6912,14,21.945,825.662415,3,22.256,814.123535,1,22.273,813.515259
2048,3840,2560,12,42.592,945.372742,25,49.114,819.829773,23,50.607,795.651611
2048,2560,2560,12,28.240,950.550476,25,28.813,931.653503,3,29.296,916.277100
2048,13824,2560,9,142.803,1015.069275,29,147.213,984.659729,28,151.599,956.176575
2048,2560,6912,12,59.896,1210.050415,1,66.509,1089.733521,3,67.512,1073.550903
8192,3840,2560,0,167.652,960.690796,9,168.229,957.392334,4,171.346,939.977295
8192,2560,2560,9,107.963,994.550232,25,109.524,980.375610,12,114.019,941.722900
8192,13824,2560,9,567.641,1021.457031,12,574.629,1009.035034,25,597.548,970.332336
8192,2560,6912,9,228.348,1269.599487,12,231.877,1250.277222,27,233.953,1239.181885
16384,3840,2560,12,327.977,982.150818,4,329.717,976.965393,28,332.147,969.819580
16384,2560,2560,9,211.093,1017.315796,25,218.492,982.868225,29,221.577,969.183228
16384,13824,2560,29,1205.031,962.333069,9,1212.840,956.137024,28,1220.279,950.307922
16384,2560,6912,9,468.896,1236.566284,29,485.010,1195.482666,28,501.308,1156.615112
